"unidade_ensino","modalidade_ensino","tipo_curso","tipo_oferta","Ano","Status_Matricula","Quantidade"
"IFB","Educação Presencial","TÉCNICO","PROEJA - Concomitante","2010","matriculado",0
"IFB","Educação Presencial","TÉCNICO","PROEJA - Integrado","2010","matriculado",0
"IFB","Educação Presencial","TÉCNICO","Subsequente","2010","matriculado",510
"IFB","Educação Presencial","TECNOLOGIA","Outros","2010","matriculado",77
"IFB","Todos","FORMACAO CONTINUADA","Subsequente","2010","matriculado",0
"CBRA","Educação a Distancia","FORMACAO CONTINUADA","Outros","2011","matriculado",0
"CBRA","Educação a Distancia","FORMACAO INICIAL","Concomitante","2011","matriculado",0
"CBRA","Educação a Distancia","TÉCNICO","Subsequente","2011","matriculado",0
"CBRA","Educação Presencial","ESPECIALIZACAO (LATO SENSU)","Outros","2011","matriculado",109
"CBRA","Educação Presencial","FORMACAO CONTINUADA","Outros","2011","matriculado",36
"CBRA","Educação Presencial","FORMACAO INICIAL","Outros","2011","matriculado",25
"CBRA","Educação Presencial","FORMACAO INICIAL","Subsequente","2011","matriculado",0
"CBRA","Educação Presencial","LICENCIATURA","Outros","2011","matriculado",119
"CBRA","Educação Presencial","MESTRADO PROFISSIONAL","Outros","2011","matriculado",0
"CBRA","Educação Presencial","TÉCNICO","Concomitante","2011","matriculado",24
"CBRA","Educação Presencial","TÉCNICO","Integrado","2011","matriculado",0
"CBRA","Educação Presencial","TÉCNICO","Subsequente","2011","matriculado",291
"CBRA","Educação Presencial","TECNOLOGIA","Outros","2011","matriculado",0
"CCEI","Educação a Distancia","FORMACAO CONTINUADA","Outros","2011","matriculado",0
"CCEI","Educação a Distancia","TÉCNICO","Subsequente","2011","matriculado",0
"CCEI","Educação Presencial","FORMACAO CONTINUADA","Outros","2011","matriculado",0
"CCEI","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2011","matriculado",0
"CCEI","Educação Presencial","LICENCIATURA","Outros","2011","matriculado",0
"CCEI","Educação Presencial","TÉCNICO","Integrado","2011","matriculado",0
"CCEI","Educação Presencial","TÉCNICO","Subsequente","2011","matriculado",0
"CEST","Educação Presencial","FORMACAO CONTINUADA","Concomitante","2011","matriculado",0
"CEST","Educação Presencial","FORMACAO CONTINUADA","Outros","2011","matriculado",0
"CEST","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2011","matriculado",0
"CEST","Educação Presencial","FORMACAO INICIAL","Outros","2011","matriculado",0
"CEST","Educação Presencial","FORMACAO INICIAL","Subsequente","2011","matriculado",0
"CEST","Educação Presencial","LICENCIATURA","Outros","2011","matriculado",0
"CEST","Educação Presencial","TÉCNICO","Integrado","2011","matriculado",0
"CEST","Educação Presencial","TÉCNICO","PROEJA - Integrado","2011","matriculado",0
"CEST","Educação Presencial","TÉCNICO","Subsequente","2011","matriculado",0
"CGAM","Educação a Distancia","TÉCNICO","Subsequente","2011","matriculado",0
"CGAM","Educação Presencial","BACHARELADO","Outros","2011","matriculado",0
"CGAM","Educação Presencial","FORMACAO CONTINUADA","Outros","2011","matriculado",104
"CGAM","Educação Presencial","FORMACAO CONTINUADA","PROEJA - Concomitante","2011","matriculado",0
"CGAM","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2011","matriculado",175
"CGAM","Educação Presencial","LICENCIATURA","Outros","2011","matriculado",0
"CGAM","Educação Presencial","TÉCNICO","Integrado","2011","matriculado",0
"CGAM","Educação Presencial","TÉCNICO","PROEJA - Integrado","2011","matriculado",0
"CGAM","Educação Presencial","TÉCNICO","Subsequente","2011","matriculado",311
"CGAM","Educação Presencial","TECNOLOGIA","Outros","2011","matriculado",0
"CGAM","Todos","FORMACAO CONTINUADA","Subsequente","2011","matriculado",0
"CPLA","Educação a Distancia","TÉCNICO","Subsequente","2011","matriculado",0
"CPLA","Educação Presencial","ESPECIALIZACAO (LATO SENSU)","Outros","2011","matriculado",0
"CPLA","Educação Presencial","FORMACAO CONTINUADA","Concomitante","2011","matriculado",0
"CPLA","Educação Presencial","FORMACAO CONTINUADA","Outros","2011","matriculado",53
"CPLA","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2011","matriculado",0
"CPLA","Educação Presencial","FORMACAO INICIAL","Outros","2011","matriculado",92
"CPLA","Educação Presencial","FORMACAO INICIAL","Subsequente","2011","matriculado",0
"CPLA","Educação Presencial","LICENCIATURA","Outros","2011","matriculado",0
"CPLA","Educação Presencial","TÉCNICO","Concomitante","2011","matriculado",46
"CPLA","Educação Presencial","TÉCNICO","Integrado","2011","matriculado",174
"CPLA","Educação Presencial","TÉCNICO","Subsequente","2011","matriculado",506
"CPLA","Educação Presencial","TECNOLOGIA","Outros","2011","matriculado",155
"CPLA","Todos","FORMACAO CONTINUADA","Subsequente","2011","matriculado",0
"CRFI","Educação a Distancia","FORMACAO INICIAL","Outros","2011","matriculado",0
"CRFI","Educação a Distancia","FORMACAO INICIAL","Subsequente","2011","matriculado",0
"CRFI","Educação a Distancia","TÉCNICO","Subsequente","2011","matriculado",0
"CRFI","Educação Presencial","ESPECIALIZACAO (LATO SENSU)","Outros","2011","matriculado",0
"CRFI","Educação Presencial","FORMACAO CONTINUADA","Outros","2011","matriculado",81
"CRFI","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2011","matriculado",0
"CRFI","Educação Presencial","FORMACAO INICIAL","Outros","2011","matriculado",51
"CRFI","Educação Presencial","FORMACAO INICIAL","PROEJA - Concomitante","2011","matriculado",0
"CRFI","Educação Presencial","FORMACAO INICIAL","Subsequente","2011","matriculado",0
"CRFI","Educação Presencial","LICENCIATURA","Outros","2011","matriculado",0
"CRFI","Educação Presencial","TÉCNICO","Integrado","2011","matriculado",0
"CRFI","Educação Presencial","TÉCNICO","PROEJA - Integrado","2011","matriculado",0
"CRFI","Educação Presencial","TÉCNICO","Subsequente","2011","matriculado",0
"CSAM","Educação a Distancia","TÉCNICO","Subsequente","2011","matriculado",0
"CSAM","Educação Presencial","FORMACAO CONTINUADA","Outros","2011","matriculado",343
"CSAM","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2011","matriculado",0
"CSAM","Educação Presencial","FORMACAO INICIAL","Outros","2011","matriculado",195
"CSAM","Educação Presencial","FORMACAO INICIAL","PROEJA - Concomitante","2011","matriculado",0
"CSAM","Educação Presencial","LICENCIATURA","Outros","2011","matriculado",0
"CSAM","Educação Presencial","TÉCNICO","Integrado","2011","matriculado",0
"CSAM","Educação Presencial","TÉCNICO","PROEJA - Integrado","2011","matriculado",0
"CSAM","Educação Presencial","TÉCNICO","Subsequente","2011","matriculado",421
"CSSB","Educação a Distancia","TÉCNICO","Subsequente","2011","matriculado",0
